title,description,rating,year,tags,cover,mal_Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
Aoharu Cynical,"Timid Yasumori is always wearing half a smile with fear in his eyes as he gets bullied. Takemi who has had Yasumori on his mind, rescues him, and in the heat of the moment, he confesses his feelings to Yasumori. In reply, Yasumori gives an unexpected answer: ""That means you'll submit to me, right?"" While love takes on many different forms, these feelings can't be replaced.",3.3,2014,"['BL', 'Yaoi', 'Collections', 'School Life', 'Bullying']",https://cdn.anime-planet.com/manga/primary/aoharu-cynical-1-190x270.jpg?t=1625914372,Aoharu Cynical,14562,Manga,1,Apr 2014 - Oct 2014,891,https://myanimelist.net/manga/95415/Aoharu_Cynical,https://cdn.myanimelist.net/r/100x140/images/manga/2/171810.jpg?s=11df66d59998a3ea5276f92d8891a295,6.53
Chameleon Jail,"""Risk hunters"" are professionals who handle jobs considered too tough for normal law enforcement, such as kidnappings, combating terrorism, and preventing murders. One man who stands above them all however is the legendary Chameleon Jail, who has the ability to manipulate his ""kara"" or internal human body energy in order to physically change his appearance into that of any other person.",3.3,1989,"['Action', 'Comedy', 'Drama', 'Mystery', 'Shounen', 'Gender Bender', 'Police']",https://cdn.anime-planet.com/manga/primary/chameleon-jail-1-190x282.jpg?t=1625911234,Chameleon Jail,17509,Manga,2,Jul 1989 - Oct 1989,1446,https://myanimelist.net/manga/1611/Chameleon_Jail,https://cdn.myanimelist.net/r/100x140/images/manga/2/66393.jpg?s=b090410102284607818cc4402e946fa5,5.85
Ikemen-kun to Saenai-kun,"Kentarou is a plain, nondescript college student who has never had a girlfriend or any friends. After getting hit on the head by a wayward ball, he begins to notice that there are increasingly long periods of time in which he cannot remember what he was doing.One afternoon, he regains consciousness in an apartment he'd never been to before - and sitting next to him is a young man who then tells him ""You're being possessed by the spirit of my dead girlfriend""...",3.3,2010,"['BL', 'Drama', 'Romance', 'Shounen-ai', 'Slice of Life', 'Adult Couples', 'Mature Romance', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/ikemen-kun-to-saenai-kun-1-190x271.jpg?t=1625911010,Ikemen-kun to Saenai-kun,7460,Manga,1,2010 - 2010,3429,https://myanimelist.net/manga/21566/Ikemen-kun_to_Saenai-kun,https://cdn.myanimelist.net/r/100x140/images/manga/1/34865.jpg?s=232d4928778928377e2c6d431a4d1e01,7.07
"Benriya Saitou-san, Isekai ni Iku",Saitou is an ordinary handyman that gets transported to another world where his skills are very useful. He starts to really understand what it means to be needed.,3.3,2018,"['Adventure', 'Comedy', 'Fantasy', 'Isekai', 'Magic', 'Modern Knowledge', 'Person in a Strange World']",https://cdn.anime-planet.com/manga/primary/benriya-saitou-san-isekai-ni-iku-1-190x270.jpg?t=1625919190,"Benriya Saitou-san, Isekai ni Iku",10622,Manga,?,Oct 2018 -,6317,https://myanimelist.net/manga/116301/Benriya_Saitou-san_Isekai_ni_Iku,https://cdn.myanimelist.net/r/100x140/images/manga/3/219875.jpg?s=8c882dc64746af02fb9fa5902e8e14ce,6.85
49,"In this small town, within the 49 days after a person dies, you can see the dead's spirit. She once admired this small town where you can still spent time with the ones precious to you within these 49 days, but...",3.3,2012,"['Drama', 'Romance', 'Shoujo', 'Ghosts', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/49-1-190x298.jpg?t=1625912071,49,6056,Manga,1,Apr 2012 - Jun 2012,1482,https://myanimelist.net/manga/43777/49,https://cdn.myanimelist.net/r/100x140/images/manga/1/164485.jpg?s=73d4897284282a2b6f066ddd0d564b99,7.18
Cube Arts,"High school first-year Takuto has been selected as a beta tester for the new sandbox-style video game Cube Arts, and he couldn’t be happier. As soon as he puts on the game’s VR headset, Takuto finds himself immersed in a sprawling world made entirely of blocks, where he can mine, build, and hunt to his heart’s content. But when a logout error traps him and his friends inside the game, Takuto discovers that even sandboxes can be deadly!",3.3,2018,"['Action', 'Adventure', 'Sci Fi', 'Seinen', 'Virtual Reality']",https://cdn.anime-planet.com/manga/primary/cube-arts-1-190x271.jpg?t=1625920960,Cube Arts,15652,Manga,3,Apr 2018 - Sep 2019,1199,https://myanimelist.net/manga/124067/Cube_Arts,https://cdn.myanimelist.net/r/100x140/images/manga/1/226232.jpg?s=a64a93998377ed7211106762fd9c94c9,6.41
Boku no Kotori-san,"Nagomi Mameshiba (18), for the first time in his life, he invites a girl to his house with ""oden"" as bait. Just what is he planning? Can he convey his feeling with an oden dinner?",3.3,2014,"['Comedy', 'Drama', 'One Shot', 'Romance', 'Shoujo', 'Slice of Life']",https://cdn.anime-planet.com/manga/primary/boku-no-kotori-san-1-190x275.jpg?t=1625913107,Boku no Kotori-san,9924,One-shot,?,Jan 2014 - Jan 2014,3610,https://myanimelist.net/manga/68301/Boku_no_Kotori-san,https://cdn.myanimelist.net/r/100x140/images/manga/3/117275.jpg?s=ecf2fe97a80679719fa68ed03cb072c3,6.9
Nana Mix!,"Nanami transfers to St. Marivel High School from America as she looks for her childhood friend, Kotaro. In a school where the ratio of male students to female students is 1:20 respectively, Nanami gets involved in a conflict with a male student who is almost twice her size. As Nanami was about to engage in battle, she catches a glimpse of Kotaro and stops, allowing the male student to grab hold of her! How will she get out of this situation?",3.3,2008,"['Comedy', 'Ecchi', 'Shounen', 'School Life', 'Transfer Students']",https://cdn.anime-planet.com/manga/primary/nana-mix-1-190x268.jpg?t=1625910345,Nana Mix!,15512,Manga,3,Apr 2008 - Oct 2009,2456,https://myanimelist.net/manga/18343/Nana_Mix,https://cdn.myanimelist.net/r/100x140/images/manga/2/55615.jpg?s=c45bc11d427a78902c67a5bec994ea47,6.43
Gakuen Heaven: Revolution,"Itou Keita is a boy with no remarkable talents beyond his better-than-average luck, until one day he receives an acceptance letter out of the blue inviting him to attend the prestigious all-boys academy, Bell Liberty School (BL School). Why has he been admitted to this amazing academy, and how can he possibly live up to the expectations of whoever let him in? As he settles in to his new life, Keita is sure to find companionship in his rather eclectic cast of schoolmates.",3.3,2011,"['BL', 'Drama', 'Romance', 'Shoujo', 'Shounen-ai', 'Slice of Life', 'All-Boys School', 'School Life', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse', 'Self-Harm']",https://cdn.anime-planet.com/manga/primary/gakuen-heaven-revolution-1-190x272.jpg?t=1625911107,Gakuen Heaven: Revolution,12756,Manga,4,Feb 2011 - Mar 2013,597,https://myanimelist.net/manga/27187/Gakuen_Heaven__Revolution,https://cdn.myanimelist.net/r/100x140/images/manga/2/43877.jpg?s=9bb3365c8dd2673df56773fbb1ff2912,6.69
Shirayuki Poppu,"Mashiro is a fangirl of a model named Yuuki. One day, Yuuki transfers to her school and the very first thing she says to him is ""I LOVE YOU!"" He ignores it as if it is was something normal, and Mashiro repeats it every single day, saying that it isn't enough even to say it everyday. They act like they're a couple although they're not. But will Yuuki's feelings towards Mashiro change?",3.3,2007,"['Comedy', 'One Shot', 'Romance', 'Shoujo', 'School Life']",https://cdn.anime-planet.com/manga/primary/shirayuki-poppu-1-190x300.jpg?t=1625912525,Shirayuki Poppu,10158,One-shot,?,2007 - 2007,1590,https://myanimelist.net/manga/4946/Shirayuki_Poppu,https://cdn.myanimelist.net/r/100x140/images/manga/1/24743.jpg?s=00ead1a0b1ae240261bc23d9f46ed148,6.88
Hana ni Nare!,"Momo Yamada wanted to be a flower when she grew up, but she seems to have blossomed into nothing more than a homely teenager. When her grandmother passes away, Momo becomes a live-in maid for the two sons of an elegant fashion designer. After the eccentric older son, Ranmaru, gives Momo the makeover of her life, she soon discovers that her mother was the legendary Hanabito, a beautiful woman who has a divinely intoxicating scent that draws men to her like bees to nectar. What's more, Momo learns that she, too, gives off that same irresistible aroma. Although she and Ranmaru have fallen in love, their relationship must now withstand constant assault from handsome boys and men who desire to abduct and seduce Momo...?!",3.3,1997,"['Comedy', 'Fantasy', 'Romance', 'Shoujo', 'School Life']",https://cdn.anime-planet.com/manga/primary/hana-ni-nare-1-180x300.jpg?t=1625909548,Hana ni Nare,14439,Manga,16,-,1640,https://myanimelist.net/manga/4474/Hana_ni_Nare,https://cdn.myanimelist.net/r/100x140/images/manga/3/20728.jpg?s=81eaae30741c910ea01a2789497a4da4,6.54
Cubism Love,"Noriko is caught up in an accident while she is going to her track and field competition. When she opens her eyes, there is the young doctor Shinoda who seems very concerned about her. She is attracted to his child-like smile, but from his lips, she learns a shocking truth - in the accident, Noriko has lost her physical body and what remains is only a brain, stuck in a little black box?!",3.3,2010,"['Drama', 'Josei', 'Romance', 'Sci Fi']",https://cdn.anime-planet.com/manga/primary/cubism-love-1-190x269.jpg?t=1625911421,Cubism Love,15517,Manga,4,Feb 2010 - Mar 2014,1179,https://myanimelist.net/manga/26104/Cubism_Love,https://cdn.myanimelist.net/r/100x140/images/manga/2/149782.jpg?s=cd44e7a23c52c65d758fab7f39cee201,6.43
Dekiai Robot,"Yoshino wanted to give valentine chocolate to her boyfriend, but a robot which was created by her inventor father, tried to get in her way!?",3.3,2014,"['One Shot', 'Romance', 'Sci Fi', 'Shoujo', ""Valentine's Day""]",https://cdn.anime-planet.com/manga/primary/dekiai-robot-1-190x285.jpg?t=1625913624,Dekiai Robot,11557,One-shot,?,Feb 2014 - Feb 2014,2126,https://myanimelist.net/manga/71813/Dekiai_Robot,https://cdn.myanimelist.net/r/100x140/images/manga/3/123837.jpg?s=e5b622911fe572571f2bfab95258a6ae,6.78
Tamashizume,"When she merges her soul with that man, she will become the Goddess of War! Itsukushima Hinata is a cool high school girl who lived a normal life, but one day, all of a sudden, her life became not so normal anymore. The strange man that suddenly appeared insulted her best friend and enraged her. He's a mysterious man who has a costume like that of someone who just woke up from ancient times. While Hinata is still confused, that man hugs her out of the blue! And then, she transforms...?!",3.3,2007,"['Action', 'Fantasy', 'Josei', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/tamashizume-1-190x268.jpg?t=1625909449,Tamashizume,13348,Manga,2,May 2007 - May 2008,774,https://myanimelist.net/manga/14410/Tamashizume,https://cdn.myanimelist.net/r/100x140/images/manga/2/20602.jpg?s=b4ee53882ad67e97b954c9070cbd531b,6.64
She Is Mine,"The story's about the blond-haired Haru and the dark-haired Ryotaro who are the best of friends. A girl suddenly steps into their life and caught their attention, and thus romance blossoms! The thing is that she is experienced in the field of love, but on the other hand, they have zero love experience?!",3.3,2009,"['Romance', 'Shoujo', 'School Life']",https://cdn.anime-planet.com/manga/primary/she-is-mine-1-190x300.jpg?t=1625910625,She is Mine,12362,Manga,2,Apr 2009 - Jan 2010,1492,https://myanimelist.net/manga/14914/She_is_Mine,https://cdn.myanimelist.net/r/100x140/images/manga/3/261539.jpg?s=5e19589be3830d7558ad615952182786,6.72
Yappari Nui ja Dame!,Yui's boyfriend Sota invites her on a 2 day 1 night stay at a hot-springs inn. Sota looks and act like a sheep when he's around people but when they're alone he's like a wolf. Her friends give her a lot (10) of condoms for the trip and she is embarrassed and doesn't want Sota to find out. And so the trip begins...,3.3,2009,"['Romance', 'Shoujo', 'Collections', 'School Life']",https://cdn.anime-planet.com/manga/primary/yappari-nui-ja-dame-1-190x299.jpg?t=1625911142,Yappari Nui ja Dame!,11068,Manga,1,-,651,https://myanimelist.net/manga/16308/Yappari_Nui_ja_Dame,https://cdn.myanimelist.net/r/100x140/images/manga/2/23994.jpg?s=bd6fad29c76f643f9e05dc5a0f8e9292,6.82
Alice's Dream Files,"Alice is a dream decipher. She notices that the class president has been sleeping a lot in class recently, so together with her rabbit partner, she enters his dream hoping to find out the cause...",3.3,2010,"['Fantasy', 'Manhua', 'One Shot', 'Shoujo', 'School Life']",https://cdn.anime-planet.com/manga/primary/alices-dream-files-1-190x278.jpg?t=1625912039,Alice's Dream Files,16419,Manhua,?,2010 - 2010,501,https://myanimelist.net/manga/19639/Alices_Dream_Files,https://cdn.myanimelist.net/r/100x140/images/manga/3/30567.jpg?s=9e275c8441a6d6ecf8b006cbc780935d,6.29
Delusional Boy,"A boy’s terrifying dream that brings an end to humanity that is rotting. A high school student named ‘Gi Haru’, who has an illness that prevents him from differentiating between reality and delusions. His only friends are his studious friend ‘Kang Yul’ and girlfriend ‘Kang Lee Ha’. However one day, after seeing a hallucination of a Nazi assembly during his friend Kang Yul’s poetry recitation, the school falls into a pandemonium of hell where everyone is killing each other, but Gi Haru believes it to be another one of his delusions. However, that was the blunt truth. That ‘day, where the mass murder of the entire student body took place,’ (The starting day) Gi Haru kills his girlfriend Kang Lee Ha with his own hands, is betrayed by his one and only friend Kang Yul, and ends up losing both his eyes. Afterwards, he was detained in a mental institute as the culprit of massacring the entire student body, but after receiving help from the capable group of ‘panthers’ he begins to chase after Kang Yul and begins the road of vengeance.",3.3,2014,"['Action', 'Drama', 'Ecchi', 'Horror', 'Manhwa', 'Seinen', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/delusional-boy-1-190x274.jpg?t=1625913640,Delusional Boy,14205,Manhwa,?,May 2014 -,1008,https://myanimelist.net/manga/79997/Delusional_Boy,https://cdn.myanimelist.net/r/100x140/images/manga/2/169035.jpg?s=98df8e4f634b8373b7e9d1e2a80957b8,6.57
Sai:Taker - Futari no Artemis,"In the future, an energy source called Life has become incredibly important. Certain people are able to synchronize with devices called Sai which gives them the ability to extract Life and have super powers. These people are known as Sai Takers. Within the Sai Takers there is an even smaller group, Original Takers. Original Takers have a contract with a magical device, and they can manipulate Life without the use of a Sai. These powerful people are also immortal, only dying if they run out of Life. The world admires Sai Takers, but Original Takers are careful to keep their identities secret.",3.3,2012,"['Action', 'Comedy', 'Ecchi', 'Romance', 'Sci Fi', 'Seinen', 'Gender Bender', 'School Club', 'School Life', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/saitaker-futari-no-artemis-1-190x273.jpg?t=1625910802,SAI:Taker: Futari no Artemis,13107,Manga,3,Jan 2012 - Jan 2013,2488,https://myanimelist.net/manga/35121/SAI_Taker__Futari_no_Artemis,https://cdn.myanimelist.net/r/100x140/images/manga/2/87435.jpg?s=5364e45b78bc8c633ff0bb7f28f49292,6.66
Vanilla Frosting,"Aram is a high school student who lives with her food stylist aunt. Aram’s parents had to live out of the country and her kind aunt was willing to move in with Aram to take care of her. One day, Aram and her aunt get to witness a cooking show on TV that ended in catastrophic broadcasting blunder. Out of her curiosity, Aram goes to look for the patissierie who was on that show… which will lead her to change the perspective on her life and future.",3.3,2009,"['Comedy', 'Manhwa', 'Romance', 'Shoujo', 'Slice of Life']",https://cdn.anime-planet.com/manga/primary/vanilla-frosting-1-190x274.jpg?t=1625909487,Vanilla Frosting,16542,Manhwa,2,2009 - 2010,563,https://myanimelist.net/manga/24610/Vanilla_Frosting,https://cdn.myanimelist.net/r/100x140/images/manga/1/137431.jpg?s=ecd0210eac05d842e24f09ca4c5b94fe,6.26
Cake,This entry currently doesn't have a synopsis. Check back soon!,3.3,2013,"['One Shot', 'Slice of Life']",https://cdn.anime-planet.com/manga/primary/cake-1-190x266.jpg?t=1625913538,Cake,15623,One-shot,?,Aug 2013 - Aug 2013,189,https://myanimelist.net/manga/69745/Cake,https://cdn.myanimelist.net/r/100x140/images/manga/2/119439.jpg?s=bfd86fe88969611c05a3ee1c2cff6b23,6.42
Fu Junai,"One day, Onosaka Kumiko returns home from grocery shopping and finds a stranger waiting for her in front of her house. The stranger turns out to be Shinohara Yuki, an old crush and work colleague of Kumiko's who quit 3 years earlier because of an incurable illness, and all he wants is to confess to Kumiko before he dies. Knowing that he'll die soon, Kumiko takes pity on Shinohara, invites him to live with her, and soon becomes his lover. But are her feelings really only pity? And is there something Shinohara's hiding too...?",3.3,2004,"['Comedy', 'Josei', 'Romance', 'Collections', 'Hostesses', 'Illness']",https://cdn.anime-planet.com/manga/primary/fu-junai-1-190x298.jpg?t=1625908831,Fu Junai,9637,Manga,1,2004 - 2004,3166,https://myanimelist.net/manga/11272/Fu_Junai,https://cdn.myanimelist.net/r/100x140/images/manga/1/32113.jpg?s=c258ebafe33ee8e93cfb9ccd0d9516a8,6.92
Kaichou to Fukukaichou,"The student council president is gaga over the vice president, but her feelings may or may not be returned. In the meantime, it's up to the serious and by-the-book vice president to keep the flaky (but surprisingly effective) president on track.",3.3,2008,"['Drama', 'GL', 'Shoujo-ai', 'All-Girls School', 'School Life', 'Student Council']",https://cdn.anime-planet.com/manga/primary/kaichou-to-fukukaichou-1-190x276.jpg?t=1625910143,Kaichou to Fukukaichou,15307,Manga,1,Sep 2010 - Sep 2010,1739,https://myanimelist.net/manga/9315/Kaichou_to_Fukukaichou,https://cdn.myanimelist.net/r/100x140/images/manga/2/65373.jpg?s=d83bc0385caf48e3c4ec1c26be75bc07,6.46
Angel no Oka,"The story revolves around a mysterious place called ""Angel's Island"" that resides somewhere on the ocean seas. Living on Angel's Island are a species of merpeople that can live in both the sea and on land. They have the form of a human, but can breath in water as well as on land. Luna is a princess of this species of mermaid living on Angel's Island, but is exiled for breaking some of their rules. As punishment, she is placed inside a sea shell, and set adrift across the sea. Meanwhile Eiji Kusahara, the son of a wealthy Japanese family, meets Soleiu (Luna's older sister) and they try to discover the mysteries behind Angel's Island.",3.3,1960,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shoujo', 'Amnesia', 'Contemporary Fantasy', 'Island', 'Royalty', 'Mature Themes', 'Physical Abuse', 'Violence']",https://cdn.anime-planet.com/manga/primary/angel-no-oka-1-190x268.jpg?t=1625911030,Angel no Oka,14795,Manga,2,Jan 1960 - Dec 1961,1260,https://myanimelist.net/manga/22195/Angel_no_Oka,https://cdn.myanimelist.net/r/100x140/images/manga/1/73093.jpg?s=924e9e4501c45fb469ce1ca75a1485b8,6.51
Ano Ko no Ie,"A child fears that living with her mother is robbing herself of individuality, and her mother of freedom.",3.3,2013,"['Seinen', 'Slice of Life', 'Psychological']",https://cdn.anime-planet.com/manga/primary/ano-ko-no-ie-1-190x269.jpg?t=1625912717,Ano Ko no Ie,12141,Manga,1,May 2013 - Sep 2013,1578,https://myanimelist.net/manga/52817/Ano_Ko_no_Ie,https://cdn.myanimelist.net/r/100x140/images/manga/1/132313.jpg?s=40590c5b960f8571511a9f0f554a3a8b,6.74
Blue,"Kayako Kirishima and Masami Endou are about to discover that their recent friendship is turning into obsessive love. But when today’s hopes and yesterday’s dreams meet tomorrow’s problems, will they be able to continue?",3.3,1995,"['Drama', 'Josei', 'School Life']",https://cdn.anime-planet.com/manga/primary/blue-1-190x267.jpg?t=1625909531,Blue,17427,Manga,1,Dec 1991 - Dec 1991,923,https://myanimelist.net/manga/22661/Blue,https://cdn.myanimelist.net/r/100x140/images/manga/3/36775.jpg?s=5349bae01cf836f7419d96d62444cacd,5.91
Raiden-18,"In a secluded laboratory, Professor Tachibana has been gathering the finest body parts available and has created her very own “Frankenstein’s Monster” named Raiden 18. Now despite his misgivings at the idea of people dissecting dead bodies, Raiden begins to adapt to his new life. However, with the cunning Tachibana bribing her creation with a remote control self-destruct switch, Raiden has little choice but to pander to her every whim, and first up is the annual “Creature Championship”. With a grand prize of a year’s supply of dead bodies up for grabs for his creator, Raiden must take part on a battle royale against others like him. But even when that’s over, Tachibana still has plenty of plans for her greatest creation yet...",3.3,2005,"['Comedy', 'Shounen', 'Monsters']",https://cdn.anime-planet.com/manga/primary/raiden-18-1-190x255.jpg?t=1625910308,Raiden-18,8057,Manga,1,Jul 2005 - Jan 2021,2688,https://myanimelist.net/manga/3444/Raiden-18,https://cdn.myanimelist.net/r/100x140/images/manga/1/246219.jpg?s=7ebca3bf12dd8d926aa036af73f0676d,7.03
Appare Jipangu!,"As a baby, Yusura was abandoned under a cherry tree along with a mysterious blue staff known as Kongoumaru. Now, Yusura is fifteen-years-old and works as a 'Hikeshiya.' Using Kongoumaru, she can absorb people's sorrow and send it back those who caused it - for a price. With the help of cheerful Minekichi, a young samurai named Samon and a ninja named Kazenosuke, Yusura helps alleviate the sadness of the world; but what she really wants is to discover the identity of her real parents and find out the origin of Kongoumaru.",3.3,1998,"['Action', 'Comedy', 'Romance', 'Shoujo', 'Historical']",https://cdn.anime-planet.com/manga/primary/appare-jipangu-1-185x300.jpg?t=1625907672,Appare Jipangu!,9847,Manga,3,1998 - 2003,3045,https://myanimelist.net/manga/1165/Appare_Jipangu,https://cdn.myanimelist.net/r/100x140/images/manga/2/21025.jpg?s=fb61bf63c6a836b255a31025336510f3,6.9
Wagahai wa Yome de Aru,"I'm a high school student. And I'm the wife of Hii-kun, a novelist. However, when he's working, somehow, he seems far away, and I always get very lonely...",3.3,2007,"['Romance', 'Shoujo', 'Collections']",https://cdn.anime-planet.com/manga/primary/wagahai-wa-yome-de-aru-1-190x298.jpg?t=1625910102,Wagahai wa Yome de Aru.,9126,Manga,1,Jul 2007 - Jul 2007,2177,https://myanimelist.net/manga/9871/Wagahai_wa_Yome_de_Aru,https://cdn.myanimelist.net/r/100x140/images/manga/3/111047.jpg?s=674142679914900d3ce7829f219206cf,6.96
Castlevania: Curse of Darkness,In the Middle Ages a group of esteemed alchemists attempted to turn gas into metal in the hopes of infusing spirits into living beings. At the same time another group of so called demonic alchemists tried to use these techniques for nefarious ends: to create demons with magical force. But only two mastered the technique Isaac and Hector creating deadly monsters that roamed the earth looking for fresh meat. And where did they create these villainous creatures It can only be: Castlevania.,3.3,2005,"['Action', 'Drama', 'Cancelled', 'Medieval', 'Supernatural', 'Vampires', 'Based on a Video Game']",https://cdn.anime-planet.com/manga/primary/castlevania-curse-of-darkness-1-190x282.jpg?t=1625909745,Castlevania: Curse of Darkness,3300,Manga,2,2005 - 2006,10343,https://myanimelist.net/manga/8108/Castlevania__Curse_of_Darkness,https://cdn.myanimelist.net/r/100x140/images/manga/3/265854.jpg?s=70a03181f635e9701b1e5eebefc18862,7.44
Princess Lover!,"Teppei Arima is a second-year high school student who lost both of his parents in a traffic accident on their way home from a family trip. His grandfather, Isshin Arima, happens to wield the puppet strings in Japan’s vast economy and demands that Teppei becomes his successor as the head of the Arima Group. To prepare for his debut into high society, Teppei enrolls in an elite academy for the scions of the rich and powerful.",3.3,2009,"['Comedy', 'Ecchi', 'Harem', 'Romance', 'Seinen', 'Inheritance', 'Based on an Eroge', 'Based on a Visual Novel']",https://cdn.anime-planet.com/manga/primary/princess-lover-1-190x268.jpg?t=1625909214,Princess Lover!,14392,Manga,1,Aug 2009 - Aug 2009,1104,https://myanimelist.net/manga/39677/Princess_Lover,https://cdn.myanimelist.net/r/100x140/images/manga/1/72237.jpg?s=89252d4ca028ba06cd1b5d7dec7765a7,6.55
I Bid You Adieu,"Ayne le Poregrin has three ""trophies"" in her collection of men: a reluctant fiancé held hostage by his debts, a fickle assassin paid to be her lover, and a soulless pet dog won at a slave auction. But to suddenly wake up one day as this femme fatale is the worst possible surprise. As the villainess of the novel ""The Fairy Garden,"" the new ""Ayne"" is fated to die a painful death at the hands of her very own trophies! To sidestep her grim future, she knows she'll need to break up with all three. As soon as she tries to say goodbye, however, each man becomes attached and won't leave her alone! Can Ayne turn their affections towards the story's heroine and save her own life in the process? ",3.3,2020,"['Fantasy', 'Manhwa', 'Reverse Harem', 'Romance', 'Webtoons', 'Full Color', 'Isekai', 'Person in a Strange World', 'Reincarnation', 'Transported Into a Novel', 'Villainess', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/i-bid-you-adieu-1-190x276.jpg?t=1625926395,I Bid You Adieu,15046,Manhwa,?,May 2020 - Jan 2022,387,https://myanimelist.net/manga/148209/I_Bid_You_Adieu,https://cdn.myanimelist.net/r/100x140/images/manga/2/263006.jpg?s=28f54499aa75a8a8fa6176b49529cc0f,6.48
Hana wa Nisemono,"Mori and Ayumu are a gay couple in college in a happy relationship. However, after Ayumu prays at a shrine for them to always be together, the shrine's deity intervenes by turning him into a girl, and now everyone except for them thinks Ayumu has always been a girl.",3.3,2012,"['BL', 'Drama', 'Josei', 'Romance', 'Shounen-ai', 'Slice of Life', 'Gender Bender', 'Supernatural']",https://cdn.anime-planet.com/manga/primary/hana-wa-nisemono-1-190x269.jpg?t=1625914132,Hana wa Nisemono,16871,Manga,1,Dec 2012 - Apr 2015,741,https://myanimelist.net/manga/92471/Hana_wa_Nisemono,https://cdn.myanimelist.net/r/100x140/images/manga/2/162732.jpg?s=23f559bdfad03ba654534a7222dadd9d,6.18
Dai Kyochuu Rettou,"New enemies, new bugs and an even bigger island.",3.3,2019,"['Action', 'Drama', 'Ecchi', 'Horror', 'Mystery', 'Sci Fi', 'Fetish', 'Insects', 'Island', 'Supernatural', 'Survival', 'Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse']",https://cdn.anime-planet.com/manga/primary/dai-kyochuu-rettou-1-190x270.jpg?t=1625922053,Dai Kyochuu Rettou,17511,Manga,?,Apr 2019 -,1595,https://myanimelist.net/manga/121730/Dai_Kyochuu_Rettou,https://cdn.myanimelist.net/r/100x140/images/manga/3/225872.jpg?s=5b98994fb1e452044c25bedb4e150507,5.85
Takamagahara,"Welcome to Yamato Yamada’s world. He used to think his biggest problem was trying to be a manga artist in a family of die-hard martial artists. But now that his kamiwaza powers are manifesting, he may be too busy fighting for his life to ever get a chance to finish his manga!",3.3,2012,"['Action', 'Comedy', 'Shounen', 'School Life', 'Supernatural', 'Superpowers']",https://cdn.anime-planet.com/manga/primary/takamagahara-1-190x285.jpg?t=1625911035,Takamagahara,16207,Manga,2,Jul 2012 - Nov 2012,3943,https://myanimelist.net/manga/40167/Takamagahara,https://cdn.myanimelist.net/r/100x140/images/manga/2/189779.jpg?s=1952188da93b932701205fba03e29031,6.33
Omae ga Sekai wo Kowashitai nara,"Though she's never spoken to him, Wana Koizumi has a huge crush on a man that frequents the restaurant where she works – but little does the girl know that he's actually a vampire and is interested in her too, due to her resemblance to a woman he loved long ago. One fateful day, Wana is working at the restaurant as always when her parents decide to pick her up from work, for recently they have heard of disturbing murders that leave their victims drained of blood, and they are concerned for Wana's safety. However, on the way home they are involved in a fatal car accident that tragically kills them – that is, except for Wana, who wakes up on her crush's sofa covered in bandages and harboring a newfound thirst for blood...",3.3,1999,"['Drama', 'Fantasy', 'Romance', 'Shoujo', 'Psychological', 'Supernatural', 'Vampires']",https://cdn.anime-planet.com/manga/primary/omae-ga-sekai-wo-kowashitai-nara-1-190x272.jpg?t=1625909352,Omae ga Sekai wo Kowashitai nara,3345,Manga,3,1999 - 2000,5292,https://myanimelist.net/manga/586/Omae_ga_Sekai_wo_Kowashitai_nara,https://cdn.myanimelist.net/r/100x140/images/manga/1/165245.jpg?s=a2db1ca074c912e6b2f6e9803b34eecd,7.43
3 Years,"Although she is a 15 year-old girl who dreams of being in a romantic relationship, China grew up to be very boyish. Now that she's in high school, she meets a cute (kind of short) boy named Haruka, and a big genius-boy named Shindou...",3.3,2004,"['Drama', 'Romance', 'Shoujo', 'School Life']",https://cdn.anime-planet.com/manga/primary/3-years-1-190x295.jpg?t=1625908614,3 Years,9628,Manga,1,2004 - 2004,2534,https://myanimelist.net/manga/7389/3_Years,https://cdn.myanimelist.net/r/100x140/images/manga/1/248447.jpg?s=c0dced21bf96636387dc3d1f4c6cd815,6.92
Ai Daro,"Yukihiro and Takase are salary-men working together in the same company and whom share a physical relationship. However, Takase's easy-going nature and loose relationships with women makes things complicated for Yukihiro. ",3.3,1998,"['BL', 'Drama', 'Romance', 'Shounen-ai', 'Adult Couples', 'Coworkers', 'Salaryman']",https://cdn.anime-planet.com/manga/primary/ai-daro-1-190x284.jpg?t=1625910665,Ai Daro,11894,Manga,1,-,709,https://myanimelist.net/manga/2847/Ai_Daro,https://cdn.myanimelist.net/r/100x140/images/manga/3/3957.jpg?s=c70c06a946f9eccf46e9d023a4cace7d,6.75
